mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,label
-722.5654,16.410185,-133.38474,29.913086,69.10403,-46.633305,11.305493,21.032455,13.583494,11.974131,9.952032,-19.003008,22.982603,0
-686.54156,34.08403,-172.51599,-9.462814,83.111244,-0.8888754,34.556488,0.6021085,-16.966877,10.001238,35.28574,0.3664478,14.210671,0
-549.8869,-32.074745,-250.46971,39.21815,55.716534,25.334414,42.11592,-54.302357,-23.092705,-1.9139584,2.211019,40.542217,-1.8428539,0
-858.0223,-13.876692,-194.74805,-101.01865,112.329285,22.098915,26.45526,16.349096,-32.843723,-52.269325,22.995796,1.8635436,20.921398,0
-753.87805,3.7237918,-83.16928,27.033728,43.46783,-48.18982,18.42171,51.31822,-7.648795,-31.897146,27.073713,10.483328,-5.470063,0
-834.769,-7.2681475,-189.3376,-76.20206,109.73901,16.064327,31.285725,12.984217,-19.83777,-42.69985,12.318925,8.7066145,29.487911,0
-759.15753,13.241077,-169.65065,-34.098217,66.83008,5.8048306,62.666607,3.4739594,-8.028115,0.6049784,6.060705,0.25041112,38.07204,0
-825.3743,-1.2972248,-190.4433,-76.89935,105.87965,11.539451,32.87967,12.735967,-26.915087,-39.39693,18.178486,-2.4153404,25.828335,0
-745.6983,23.763449,-76.47685,28.803446,45.822166,-44.227535,17.538944,46.563843,-9.121778,-32.266544,29.736155,8.891742,-6.6959653,0
-521.11237,-198.11844,38.21197,82.9051,-58.60258,0.42173752,46.039368,-3.405372,-25.636024,31.966309,11.643281,-16.57358,6.9321523,0
-477.77365,-86.842705,-81.94281,146.7106,-64.68743,-46.29104,71.98556,-26.595697,-8.210697,3.5347672,3.9588623,11.011155,-26.5072,0
-869.7808,-58.25541,-176.416,10.828497,163.37535,-28.750074,-36.205013,0.86448103,1.3737729,16.66066,50.667347,-34.782204,-13.610305,0
-525.4321,-58.628666,-215.40329,116.44728,89.18908,-73.581314,-8.593016,-10.216885,8.247886,49.115284,-33.54337,-28.997538,26.210892,0
-980.421,-81.36597,-74.10304,45.28413,91.40681,-108.98944,-12.322909,80.40493,-11.164797,-66.22005,46.04877,10.388653,-16.022934,0
-912.0686,-98.526764,-110.28851,103.65147,70.017166,-114.37414,52.635494,47.396935,-23.250141,-9.040878,17.588224,2.0918393,32.67968,0
-842.5757,-64.40856,-150.39667,86.85416,106.60264,-95.32231,3.0136542,14.651788,19.39716,17.034143,-16.11928,-26.841692,46.813107,0
-716.5223,-19.495575,-148.69432,62.87169,76.66367,-37.89167,26.568558,15.183711,10.948931,12.023082,-3.528259,-9.84116,36.47145,0
-720.214,-21.636457,-145.87595,66.947784,77.46081,-39.93812,23.972878,14.874797,11.56787,14.049107,-1.8165568,-11.362015,34.140118,0
-714.5079,-35.06415,-154.49782,70.34092,81.780716,-26.604956,25.87805,10.639839,8.781192,13.32603,-4.999707,-9.413307,35.608437,0
-700.9959,-42.199715,-148.5887,84.88374,47.030094,-15.8954935,29.70463,-13.220612,36.68281,-3.310634,-12.666734,6.7993674,14.481365,0
-456.82816,-45.566452,-237.86877,83.16494,85.064316,-24.578176,10.783427,-45.680775,-17.917873,47.350506,2.8687334,-2.658291,-11.295384,0
-469.3774,-46.60666,-241.22232,86.07527,83.97365,-25.436714,12.118839,-46.306915,-17.596004,47.194168,1.6339852,-1.2992383,-10.603452,0
-514.8575,-27.895748,-169.0455,70.37189,100.940125,-72.78203,-32.287876,40.523846,-7.690702,-0.44923958,11.964425,-20.630354,3.388251,0
-841.3624,-76.894775,-172.30243,78.21368,115.96963,-78.57822,0.571132,-7.5884395,16.229881,32.996502,-8.371084,-34.63223,33.75256,0
-540.02167,-27.01551,-203.07852,65.87505,124.815506,-63.323765,-44.98573,25.729038,-5.5760703,18.31687,17.084768,-40.52227,-5.3503866,0
-469.69934,-86.12091,-216.89575,143.37354,43.436886,-33.752537,-8.371122,-45.638634,46.88684,18.836487,-23.74687,2.007794,-22.62362,0
-675.8534,-21.141956,-171.91028,42.193066,80.74644,-3.6873424,23.250933,-13.529096,-8.088391,30.160719,21.670792,-5.396907,10.778946,0
-695.6329,-24.801798,-126.52137,42.33548,72.57819,-16.292038,-13.503977,22.146091,7.140287,2.9117796,20.82547,-16.758364,8.380416,0
-876.5136,-75.50721,-170.56154,46.824898,153.53583,-67.20171,-29.69476,28.168406,10.608161,7.545843,28.73885,-44.38166,16.730532,0
-632.1541,-28.322693,-191.77588,73.31681,125.00387,-77.94773,-51.80301,42.249283,7.000195,3.5941656,5.0613766,-35.642555,6.882715,0
-625.43274,-14.550296,-217.01097,51.941135,143.94843,-33.43168,-32.4978,6.3717723,-12.022991,33.23207,41.071865,-39.438232,-15.579847,0
-587.72,-10.507905,-215.12323,47.858646,139.19241,-29.744707,-36.01238,6.809257,-12.80628,32.950363,36.210056,-35.79765,-16.683502,0
-551.3916,6.880963,-248.38048,15.172909,143.05516,4.8458204,-6.192904,-1.9825194,-47.381763,18.397722,57.070763,-5.2797003,-10.624174,0
-669.94257,-7.8071666,-245.35867,10.983965,150.38622,-7.0574765,0.47326216,-8.2494755,-42.374443,12.003527,62.71177,-10.357244,-6.765791,0
-652.18396,-6.6122823,-238.06181,12.105777,143.32243,-4.4227734,-3.684207,-7.90489,-41.71461,14.826652,60.870113,-9.867846,-7.440595,0
-543.2091,-0.6364419,-251.956,6.799186,139.76299,-2.3420348,-22.5948,-6.9118133,-48.11369,13.377417,56.06268,-10.13525,-21.273077,0
-654.98236,-27.193762,-191.32526,64.151245,126.67411,-71.17164,-50.9311,38.10237,5.850109,-0.56013197,11.436816,-30.794096,2.0676923,0
-531.7942,-119.01341,-91.37127,179.44345,-78.74018,-27.878223,47.40214,0.55641294,3.0967956,-32.191326,39.53152,4.8768015,-23.08945,0
-821.6971,-39.88411,-178.27606,36.235847,150.77022,-58.709274,-33.717827,9.4936905,10.462033,18.0263,29.494375,-46.030212,1.5609311,0
-780.6912,-25.01702,-152.33327,38.442104,122.947174,-50.00676,-33.916996,10.451828,14.548673,14.168406,18.921766,-37.394814,2.2642143,0
-858.1207,-49.540928,-164.97005,35.943146,152.63524,-57.426647,-32.23597,11.622598,12.262501,17.134722,30.752453,-46.979374,3.778719,0
-710.4883,-96.35321,-161.12332,110.38523,36.908596,-13.009593,-19.529327,-33.698666,50.419563,-5.747247,15.506122,-25.077442,-11.360151,0
-860.79517,-64.32298,-171.25232,44.1268,151.09111,-58.939117,-27.481312,9.631176,6.7718496,24.810005,31.141378,-53.52765,8.307686,0
-853.3079,-60.351303,-174.12387,45.655354,150.4747,-60.504135,-24.006905,10.970381,5.664919,23.099812,31.559353,-54.411934,10.552542,0
-482.84296,-140.64839,-56.172028,155.74626,-95.020775,13.290915,11.754721,24.445515,-18.31517,-11.951425,35.923256,-11.982771,2.3789327,0
-528.92194,-11.840468,-186.0322,29.844782,132.81349,-31.347973,-69.72609,15.730418,16.039148,6.8243847,15.37551,-23.652298,-23.045301,0
