PC1,PC2,PC3,Class,Original_Label
23.623999,-6.628248,1.6730824,Whistle,0
31.04989,-10.121707,-6.008867,Whistle,0
26.464752,4.862179,-0.25839496,Whistle,0
42.880337,-2.2935576,-2.8039842,Whistle,0
-141.5657,-14.24025,4.396997,Whistle,0
-120.60716,-12.904237,3.7922597,Whistle,0
-83.25299,46.247543,-18.785849,Whistle,0
-115.45532,-12.606299,3.6568785,Whistle,0
-5.4705048,-0.3632629,1.1728051,Whistle,0
-70.64748,3.3990185,67.59301,Whistle,0
-73.47762,-55.826096,-22.403645,Whistle,0
19.337196,-8.912362,1.4143739,Whistle,0
-30.991493,41.507412,21.517933,Whistle,0
21.36396,-14.831056,3.0634532,Whistle,0
16.450533,-23.909443,-6.59603,Whistle,0
-61.643265,46.770992,-15.75651,Whistle,0
11.464815,-11.374267,-0.9962264,Whistle,0
10.680431,-5.198938,1.4243262,Whistle,0
0.2846737,-4.2110577,-0.36688888,Whistle,0
-99.33852,-11.402131,2.5573626,Whistle,0
19.130966,-15.461005,-5.1191196,Whistle,0
-10.705322,-5.9405856,0.27597904,Whistle,0
-95.114746,-10.910533,2.3183796,Whistle,0
5.735262,4.985383,15.114418,Whistle,0
16.048553,4.7313604,-9.025375,Whistle,0
13.1461735,-3.4362295,13.428121,Whistle,0
-81.3848,43.68768,-19.323402,Whistle,0
6.130167,-4.7156487,1.783293,Whistle,0
9.865404,1.0350058,10.577598,Whistle,0
-125.42851,3.6056645,-20.46817,Whistle,0
5.534792,-7.5725193,2.2671282,Whistle,0
-131.12392,-13.575925,4.103328,Whistle,0
15.334894,-3.1270711,0.31175768,Whistle,0
12.065392,-0.13845992,7.017476,Whistle,0
-13.749607,-10.870299,4.3620753,Whistle,0
-156.04729,-15.151503,4.784585,Whistle,0
23.817451,-7.6587677,1.5461421,Whistle,0
-86.76883,47.50622,-22.367945,Whistle,0
20.650955,-6.05798,2.1276498,Whistle,0
-145.74728,-14.47562,4.4066415,Whistle,0
-74.76399,50.523796,8.285744,Whistle,0
-142.56503,-14.30503,4.3938093,Whistle,0
10.528063,-5.3493366,0.23547387,Whistle,0
9.175182,-3.89121,0.44308436,Whistle,0
-33.081116,14.573499,19.676805,Whistle,0
16.56158,-13.628563,-5.0928874,Whistle,0
41.459064,-1.600032,3.9195104,Whistle,0
28.268116,-2.0268493,-17.33225,Whistle,0
41.32109,1.3136852,12.11761,Whistle,0
34.073162,-17.55786,-11.214445,Whistle,0
-82.61433,10.0328,45.2304,Whistle,0
13.55751,-18.30095,-11.66256,Whistle,0
30.388498,4.7487097,8.750851,Whistle,0
-13.773426,2.779402,-58.84655,Whistle,0
39.24778,-1.8558418,9.310342,Whistle,0
38.26733,-8.707572,-3.827304,Whistle,0
-92.23328,47.96172,-20.516815,Whistle,0
-139.07132,9.035801,-29.244087,Whistle,0
-60.99553,-85.33043,28.284945,Whistle,0
4.800894,-4.7956233,2.4442713,Whistle,0
-124.08394,-13.127942,3.8942661,Whistle,0
-73.203674,45.086407,45.003944,Whistle,0
-140.33691,-14.168841,4.348431,Whistle,0
4.0907135,-6.3386035,0.67132354,Whistle,0
-99.351685,48.21977,-18.802961,Whistle,0
-78.43515,64.314095,9.913894,Whistle,0
-46.217407,40.85943,35.138508,Whistle,0
-27.915638,31.563822,21.948513,Whistle,0
2.0194817,-4.7129083,0.48186922,Whistle,0
13.272207,-5.9010935,-0.444561,Whistle,0
27.34413,-0.8748827,-0.52575064,Whistle,0
38.057465,4.6063595,-2.7643442,Whistle,0
26.71771,-1.0360914,10.983442,Whistle,0
-100.50282,25.23986,-28.270334,Whistle,0
2.5182323,1.2007792,12.492934,Whistle,0
12.743614,-5.7176933,-0.9256107,Whistle,0
24.137688,-2.2556708,-0.92786574,Whistle,0
31.477968,4.4274397,-1.2617023,Whistle,0
23.258873,-7.6480846,12.252217,Whistle,0
-44.83455,20.425644,15.946186,Whistle,0
10.62262,-7.5785866,-0.122110724,Whistle,0
37.29866,-3.6616354,3.1793747,Whistle,0
3.8647232,-6.134135,-0.8291035,Whistle,0
44.567055,-0.5308459,0.9985113,Whistle,0
34.416824,-0.37811136,-3.4508798,Whistle,0
-32.668667,13.854522,13.594509,Whistle,0
6.6253376,-7.1700306,1.3112781,Whistle,0
33.71743,-3.1268754,2.9528785,Whistle,0
-11.001053,-7.905116,-0.4563384,Whistle,0
36.143707,-2.0936785,0.7118237,Whistle,0
25.76494,-3.3069227,-0.28618503,Whistle,0
-38.998978,6.8359346,-18.2012,Whistle,0
24.561983,0.4644034,15.922512,Whistle,0
33.71766,9.289527,-3.0716484,Whistle,0
41.36992,-8.714624,-5.7535763,Whistle,0
30.539158,5.3972406,6.0999627,Whistle,0
34.791977,-7.796751,-3.9130423,Whistle,0
29.751528,12.009632,10.199574,Whistle,0
19.345592,10.691777,-13.353125,Whistle,0
-64.39825,-61.66426,-28.298914,Whistle,0
25.29948,2.8970177,20.387835,Whistle,0
30.96221,14.37643,-7.105764,Whistle,0
40.19669,-11.41264,-6.770709,Whistle,0
32.308678,8.642812,7.656249,Whistle,0
34.734047,-11.686475,-6.098314,Whistle,0
17.45399,13.338061,14.456901,Whistle,0
11.122585,14.155025,-16.663973,Whistle,0
9.377987,-5.461952,-0.07034004,Whistle,0
-159.6675,-15.39694,4.8941765,Whistle,0
0.5218792,-3.0415869,1.7764435,Whistle,0
-70.92173,46.3869,7.2337484,Whistle,0
-170.25792,-16.067322,5.1953716,Whistle,0
-6.088089,-3.17305,0.7981951,Whistle,0
-26.384422,21.137901,20.78356,Whistle,0
8.824532,1.3370101,5.957346,Whistle,0
-160.78915,-15.469934,4.9422865,Whistle,0
-59.778114,44.067764,25.59237,Whistle,0
-19.569324,25.863045,28.765099,Whistle,0
-162.41536,-15.573607,4.9945827,Whistle,0
-169.55412,-16.019102,5.1586742,Whistle,0
-119.46933,-12.836222,3.7645426,Whistle,0
-119.91751,-12.864357,3.7834153,Whistle,0
5.866253,-7.0758457,2.7405658,Whistle,0
0.86683273,-2.3684244,-2.342581,Whistle,0
-142.92433,-14.288746,4.348302,Whistle,0
22.944164,4.491764,-6.825789,Whistle,0
54.388435,-1.4449502,7.5388765,Whistle,0
18.626194,-15.403798,-9.38549,Whistle,0
-70.15835,31.212244,-14.390251,Whistle,0
-132.01517,-13.569176,3.989017,Whistle,0
34.813408,6.1476746,-8.758171,Whistle,0
48.980522,-1.1323966,12.13673,Whistle,0
24.781025,-14.264272,-6.900672,Whistle,0
-7.383831,-12.656418,-1.8493023,Whistle,0
8.397278,-5.189414,0.122339725,Whistle,0
1.5844841,-5.4422894,-0.5825728,Whistle,0
5.317047,-7.6699715,0.4422375,Whistle,0
13.923981,-4.425817,-0.64356506,Whistle,0
-17.092453,-3.931381,-2.6593542,Whistle,0
28.077583,-6.6265945,2.1437252,Whistle,0
31.153643,-0.26981688,5.1627774,Whistle,0
32.069717,-4.032504,-0.93350124,Whistle,0
30.328058,-10.636954,5.7890606,Whistle,0
4.2530937,-23.241808,6.9891195,Whistle,0
32.54651,-7.179764,1.9454107,Whistle,0
30.118572,-0.86514544,2.0707242,Whistle,0
32.367676,-4.323654,-0.9689185,Whistle,0
-11.883137,-7.457572,-0.2444526,Whistle,0
18.243671,-2.619713,-0.15884411,Whistle,0
17.75278,-12.4801,-4.866837,Whistle,0
-9.021854,-6.7135544,2.4028141,Whistle,0
9.747622,-4.0468407,0.17425561,Whistle,0
4.055065,-1.797238,3.1521869,Whistle,0
-83.41614,52.619743,-21.843771,Whistle,0
-146.65863,-14.562742,4.5015206,Whistle,0
-0.8603325,-5.5548553,-0.5825961,Whistle,0
1.0497494,-6.896837,1.2425292,Whistle,0
-127.09781,-13.320209,3.9958053,Whistle,0
-173.90524,-16.299198,5.295452,Whistle,0
-128.99484,-13.450535,4.0493083,Whistle,0
0.78712463,-5.37255,-1.693954,Whistle,0
-157.86172,-15.281473,4.851919,Whistle,0
-92.1324,50.057243,-17.729782,Whistle,0
45.609978,4.286955,-5.043006,Whistle,0
-2.7829514,0.44305348,-4.649576,Whistle,0
12.140722,-3.9603753,-0.123882055,Whistle,0
43.213802,2.3623736,-1.4129219,Whistle,0
18.366793,-9.865206,3.505836,Whistle,0
43.28694,-5.4558535,3.8291907,Whistle,0
50.809616,-0.626117,-1.3944296,Whistle,0
55.575424,-1.2483898,-2.5586045,Whistle,0
25.083721,-11.970966,-1.2139974,Whistle,0
50.23613,-2.004078,-2.679452,Whistle,0
54.190903,-3.4457917,-3.6433423,Whistle,0
44.386375,-0.19111109,0.9480665,Whistle,0
45.866524,-7.172845,1.5263574,Whistle,0
56.954807,1.7562249,1.2932844,Whistle,0
53.974476,-3.3564525,-1.6123646,Whistle,0
15.18427,-1.19209,-6.7034082,Whistle,0
49.549007,-0.9532145,-0.75452936,Whistle,0
52.793175,2.2567766,-0.5112287,Whistle,0
49.762367,0.22314715,-2.116319,Whistle,0
39.6384,-4.4908667,0.97600746,Whistle,0
49.966866,-1.0088118,-1.9192835,Whistle,0
48.745888,-1.1966755,-2.29719,Whistle,0
8.984798,-13.99629,0.017514467,Whistle,0
47.30201,-3.93242,-3.552529,Whistle,0
17.712803,7.0413485,-1.057012,Whistle,0
28.736504,0.5900667,-1.5154259,Whistle,0
35.145954,-15.761933,3.6058645,Whistle,0
45.234795,-1.8478718,-2.2670333,Whistle,0
33.8485,-4.304922,4.2903666,Whistle,0
-175.50662,-16.387632,5.326207,Whistle,0
-146.66368,-14.563933,4.519958,Whistle,0
-166.03452,-15.790519,5.0761747,Whistle,0
-14.69276,-1.6300025,-0.34855664,Whistle,0
-32.49149,26.288391,27.48192,Whistle,0
-74.0612,63.56309,6.687026,Whistle,0
-129.33661,2.454325,-19.041142,Whistle,0
3.735283,2.235699,-2.515913,Whistle,0
-172.58939,-16.198011,5.238329,Whistle,0
-171.87646,-16.170256,5.2353525,Whistle,0
-119.20166,32.305965,-35.634457,Whistle,0
6.317421,-4.7995777,-0.52520514,Whistle,0
9.133423,-4.535164,0.09501612,Whistle,0
-68.88866,63.044018,7.33453,Whistle,0
18.993576,-1.016372,-0.8075255,Whistle,0
-156.51924,-15.193852,4.805043,Whistle,0
10.15868,-5.745082,-0.27250326,Whistle,0
16.366076,-1.7054054,-0.9300833,Whistle,0
5.9060287,-8.647319,0.10260534,Whistle,0
14.213068,-5.0831165,-0.20734894,Whistle,0
7.9631023,1.8636849,0.30944407,Whistle,0
2.37949,-3.7110739,0.6786978,Whistle,0
-1.6810799,-3.4343996,1.522512,Whistle,0
-3.297104,-10.81709,2.7137003,Whistle,0
-0.37192345,-5.495765,-3.2389445,Whistle,0
-170.6843,-16.088917,5.182665,Whistle,0
0.67620087,-5.7736263,-0.017467618,Whistle,0
4.043789,-4.0299973,0.354056,Whistle,0
-2.9674797,-3.41837,0.48174524,Whistle,0
5.3186436,-4.409629,2.9749532,Whistle,0
-1.0497894,-4.004955,0.05728197,Whistle,0
4.0999107,-4.503334,0.42475486,Whistle,0
-149.59529,5.256853,-24.416904,Whistle,0
3.166151,-4.6776915,1.0637624,Whistle,0
-11.135532,-2.6316147,-0.9123411,Whistle,0
-4.872368,-4.047454,2.4433901,Whistle,0
6.152725,-6.6838026,-0.16135168,Whistle,0
-103.65326,65.32286,-25.671011,Whistle,0
52.264587,-0.5069299,9.565248,Click,1
9.955637,-28.249655,-9.889892,Click,1
8.761009,-23.288847,-49.402184,Click,1
31.789566,18.54675,-26.469332,Click,1
35.45141,-16.13336,7.1032324,Click,1
44.307945,-4.2296133,7.631633,Click,1
14.144335,-19.232325,18.391512,Click,1
32.484573,-2.737319,5.405979,Click,1
59.6988,-1.5721853,-8.88154,Click,1
40.497047,-5.231971,7.2671404,Click,1
32.32298,16.620602,-1.3378409,Click,1
50.24598,-13.226515,7.4319134,Click,1
35.922558,2.1802742,14.41658,Click,1
