UMAP1,UMAP2,UMAP3,Class,Original_Label
-2.040683,-2.413112,6.7480664,Whistle,0
-1.4128066,-1.6246866,6.9392567,Whistle,0
-2.3438327,-2.5945134,6.5709133,Whistle,0
-1.8207805,-3.024844,4.7423496,Whistle,0
-2.2586808,5.324481,3.298188,Whistle,0
-2.8692865,-2.2927687,6.4926763,Whistle,0
-1.4912653,-2.5798714,6.2306695,Whistle,0
-1.4795913,-1.3845416,6.9988704,Whistle,0
-2.0873775,-2.5132399,6.7364655,Whistle,0
-1.4137748,-1.3711952,6.768499,Whistle,0
-2.5276313,-2.6526184,6.2499413,Whistle,0
-1.815021,-3.1810265,4.566933,Whistle,0
-2.339396,-1.6517863,4.794853,Whistle,0
14.667801,5.012824,10.062207,Whistle,0
-2.9208412,-1.7653743,3.5041633,Whistle,0
2.6943982,6.514729,-1.1218683,Whistle,0
14.841291,4.3461003,10.204495,Whistle,0
-3.1140866,-1.9229065,2.8831499,Whistle,0
2.350933,2.3363528,3.4882262,Whistle,0
-2.670075,-1.9551836,4.5512853,Whistle,0
14.687961,4.963572,10.065449,Whistle,0
2.2336137,5.881911,0.10376964,Whistle,0
2.4117134,2.3502495,3.420979,Whistle,0
14.729799,4.859039,10.081496,Whistle,0
14.855899,4.3351536,10.212689,Whistle,0
6.3612146,13.124924,9.238886,Whistle,0
6.384451,13.13329,9.250987,Whistle,0
-2.6881337,-1.50774,4.1335115,Whistle,0
-2.8443813,-1.6798754,3.4824347,Whistle,0
7.729347,14.137885,9.22086,Whistle,0
-1.5663183,-2.5007906,6.1373234,Whistle,0
-2.2214162,-1.8242491,8.06966,Whistle,0
-1.6125399,-0.8274614,5.5889664,Whistle,0
3.5787737,9.252838,-0.76706386,Whistle,0
7.170441,13.65924,9.226961,Whistle,0
-1.4233527,-2.4728816,6.566442,Whistle,0
-2.3484805,-1.8932358,7.784479,Whistle,0
-1.516275,-0.9284804,5.8404865,Whistle,0
-3.2271636,-1.3806264,2.5703177,Whistle,0
-2.4191732,-1.6356128,4.5879083,Whistle,0
-2.8580256,-1.6153184,3.576946,Whistle,0
-2.6112998,-1.4787507,4.2177763,Whistle,0
-2.2092996,-1.8101283,4.93592,Whistle,0
-3.4891863,-1.7099568,1.9605086,Whistle,0
-1.5748409,-2.0471299,6.930526,Whistle,0
-1.5935299,-2.1568334,6.9525394,Whistle,0
-1.4808105,-2.05624,6.957113,Whistle,0
-2.2971563,-1.6068588,6.4774666,Whistle,0
-2.2823582,-0.7324562,5.5332913,Whistle,0
-1.62446,-1.969799,7.0299945,Whistle,0
-1.6402783,-2.1536098,6.9708567,Whistle,0
-1.455921,-1.9661685,6.891985,Whistle,0
-3.358593,-1.520441,2.240717,Whistle,0
-1.9657276,-2.0611522,5.4488344,Whistle,0
-1.7172931,-1.0654308,5.516169,Whistle,0
-3.3598719,-1.4815584,2.4252815,Whistle,0
-2.4393413,-1.7379769,4.689591,Whistle,0
